X,Y
1798.304,669.0893
1886,684.9403
1696.909,686.7273
2313.436,690.9636
2158.792,692.9861
2108.143,693.5476
2171.975,696.725
1638.233,702.0667
1839.851,712.9362
1858.571,720.3265
1845.536,722.1594
2380.738,726.2621
1794.202,726.7619
1947.544,735.0778
1551.467,731.1778
1887.788,737.6795
1651.113,740.1125
2454.135,738.2703
2488.426,746.6595
1896.338,748.831
2130.436,751.0909
1792.295,764.3461
2518.772,771.9874
2278.224,774.4605
1819.8,773.3
2102.9,774.3333
1712.898,778.0204
1800.536,777.7857
2068.444,778.0833
1734.6,781.275
2092.379,781.6552
1570.298,790.0385
2032.357,791.2321
2491.354,793
2512.874,793.7717
1918.193,795.0741
1947.316,795.6316
2051.805,798.9025
2488,801.7368
2103.542,805.6949
2120.125,807.1563
2055.48,809.12
1904.649,814.7402
1926.958,812.625
2026.2,812.1334
2043.792,814.7917
1984.468,818.4894
2033.339,818.2923
2081.392,819.6274
1925.421,818.2105
2625.5,819.8666
2395.5,823.675
1976.326,824.1163
1927.94,829.3929
2079.481,828
2042.634,834.9014
2106.692,829
2402.137,832.3699
1564.823,833.1177
1975.056,834.5278
2524.572,834.8571
2010.708,841.75
1789.158,839.7368
2631.49,840.2549
1562.682,842.7045
1699.038,845.2308
2038.068,843.8864
1554.567,850.725
1897.324,848.9155
1860.647,847
2074.906,846.4688
1688.923,848.6154
1850.5,849.881
2092.613,850.7419
2627.525,851.15
1866.756,858.5652
2704.983,855.2931
1535.25,854.1563
2085.63,853.9259
2025.051,855
1812.15,855.75
2421.714,857.8929
2552.368,861.2059
1966.881,861.8095
2721.833,861.3333
1643.969,862.3384
1807.083,861
2074.324,863.0676
1889.957,866.6489
2239.206,870.6617
2118.531,865.2813
2609.736,867.7358
2129.393,867.375
1969.571,866.8571
2133.023,872.3488
1284.778,875.2735
1679.916,877.0482
2346.634,875.2817
1890.99,879.1579
2618.165,878.2418
1416.321,877.2321
1783.755,877.1698
2158.48,879.0649
2213.533,884.2444
2694.545,876.1818
1962.5,880.0333
2039.682,887.5303
1353.125,883.25
1373.159,886.5555
1747.5,883.5
2567.14,885.6667
2277.75,886.1875
1383.606,887.1212
1409.125,889.6389
1424.027,888.6165
2089.921,890.3
1479.267,889.5
1236.458,893.7083
1432.2,893.3333
1606.545,896.7273
2138.45,893.8
2132.957,895.6522
2037.71,898.871
1323.034,905.3135
1390.979,901.6042
2628.469,906.2813
1959.294,902.7059
1246.974,904.4737
2368.633,906.2833
2221,905.6842
2613.525,908.541
2787.143,906.1429
1234.395,913.3704
1250.241,911.2414
1404.039,910.6863
2771.015,914.5224
1521.6,913.1334
2778.273,912.5455
2602.188,913.75
2759.545,914.8182
1673.936,920.3405
2140.444,921.5
2354.161,920.5
1520.885,922.2115
1817.387,925.44
2312.87,919.7826
2779.791,924.1319
1343.313,922.4776
1257.097,924.7097
2333.633,927.0816
2169.552,933.6119
2756.053,928.4035
2069.323,931.1613
2047.309,931.5273
2436.326,934.4783
2487.288,933.339
1964.5,932.7143
2347.008,937.2667
2095.783,936.4348
2429.879,937.7273
1362.56,937.64
1586,937.5
2039.3,938.9
2332.292,938.7917
2660.453,940.6406
2510,941.2917
1330.408,942.7143
1507.667,943.7667
1788.441,944.1017
2048.596,945.25
2555.416,944.7532
1824.807,947.7349
2517.2,947.6
1589.167,948.2381
1546.222,951.8271
1764.06,951.98
1734.553,952.7368
1835.414,951.2414
2594.864,953.2576
1333.232,952.8929
2816.396,957.375
2671.726,959.7177
1148.318,959.1212
2492.273,960.2
1947.286,959.8571
2684.829,960.4286
2850.213,961.96
1611.636,960.8182
2349.516,963.2258
1511.333,963.3
1339.2,966.6533
1773.615,967.1539
2350.988,973.2625
2254.12,971.5
1856.125,972.4286
1596.964,976.1818
2464,973.3864
2342.727,976.2273
2651.705,978.082
2032.567,981.1731
1680.864,979.3182
1167.291,986.5743
1694.436,985.8182
1918.5,983.9355
1683.778,983.2778
